2023-10-14 19:38:26.877 [info] Log level: Info
2023-10-14 19:38:26.877 [info] Validating found git in: "git"
2023-10-14 19:38:26.877 [info] Using git "2.34.1" from "git"
2023-10-14 19:38:26.877 [info] > git rev-parse --show-toplevel [13ms]
2023-10-14 19:38:26.880 [info] > git rev-parse --show-toplevel [4ms]
2023-10-14 19:38:26.894 [info] > git rev-parse --show-toplevel [2ms]
2023-10-14 19:38:26.903 [info] > git rev-parse --show-toplevel [2ms]
2023-10-14 19:38:26.918 [info] > git rev-parse --show-toplevel [2ms]
2023-10-14 19:38:26.930 [info] > git rev-parse --show-toplevel [2ms]
2023-10-14 19:38:26.939 [info] > git rev-parse --show-toplevel [2ms]
2023-10-14 19:38:26.947 [info] > git rev-parse --show-toplevel [2ms]
2023-10-14 19:38:26.956 [info] > git rev-parse --show-toplevel [1ms]
2023-10-14 19:38:26.964 [info] > git rev-parse --show-toplevel [3ms]
2023-10-14 19:38:26.973 [info] > git rev-parse --show-toplevel [2ms]
2023-10-14 19:38:26.982 [info] > git rev-parse --show-toplevel [3ms]
2023-10-14 19:38:26.994 [info] > git rev-parse --show-toplevel [1ms]
2023-10-14 19:38:27.001 [info] > git rev-parse --show-toplevel [1ms]
2023-10-14 19:38:27.008 [info] > git rev-parse --show-toplevel [1ms]
2023-10-14 19:38:27.016 [info] > git rev-parse --show-toplevel [2ms]
2023-10-14 19:38:27.023 [info] > git rev-parse --show-toplevel [1ms]
2023-10-14 19:38:27.030 [info] > git rev-parse --show-toplevel [1ms]
2023-10-14 19:38:27.038 [info] > git rev-parse --show-toplevel [2ms]
2023-10-14 19:38:27.046 [info] > git rev-parse --show-toplevel [2ms]
2023-10-14 19:38:27.054 [info] > git rev-parse --show-toplevel [1ms]
2023-10-14 19:38:27.062 [info] > git rev-parse --show-toplevel [1ms]
2023-10-14 19:38:27.070 [info] > git rev-parse --show-toplevel [1ms]
2023-10-14 19:38:27.077 [info] > git rev-parse --show-toplevel [2ms]
2023-10-14 19:38:33.354 [info] > git rev-parse --show-toplevel [2ms]
